,n_outliers
P1121,25
P103A,25
P1171$02,25
P1126,24
P105A,23
P117T3,21
T110,20
P110,18
P22,17
P25$1,16
NBI3,16
P25$3,15
LATITUD,15
NBI1,15
DOMINIO,13
P1171$12,12
P1145,12
P1142,12
NCONGLOME,12
P110A_MODIFICADA,11
P110A,11
P101,9
P1171$01,8
NBI2,8
P600A1,8
P103,8
P1138,7
P117T2,6
P104A,5
P1131,5
TIPENC,5
P1124,4
P1171$06,4
P612I1,4
P107B3,3
P102,3
VIVIENDA,3
P1127,2
P117T4,2
P104,2
P612I2,2
P110E,1
P1141,1
RESULT,1
P1135,1
P107B4,1
P600I,1
P1175$02,1
P1171$07,1
P1171$11,1
P110I,1
P200I,1
MES,0
PERIODO,0
P1143,0
P1136,0
P1139,0
P1137,0
P1125,0
P1123,0
P1132,0
P1133,0
P107B2,0
P107B1,0
P110D,0
P111A,0
P25$2,0
P24B,0
P25$5,0
P25$4,0
P24A,0
FECENT,0
ESTRATO,0
UBIGEO,0
AÃ‘O,0
HOGAR,0
CONGLOME,0
P1171$15,0
P1171$04,0
P1171$05,0
P1171$09,0
P1171$08,0
P1171$10,0
P1171$13,0
P1171$14,0
P1144,0
P1175$16,0
P1175$15,0
P1175$14,0
P1175$13,0
P1175$12,0
P1175$11,0
P1175$10,0
P1175$09,0
P1175$08,0
P1175$07,0
P1175$06,0
P1175$05,0
P1175$04,0
P1175$01,0
P1171$16,0
P600D1,0
P710I,0
P700I,0
P600M2,0
P600A2,0
P600D2,0
P600M1,0
T111A,0
TICUEST01,0
NBI4,0
P800I,0
FACTOR07,0
NBI5,0
SUB_CONGLOME,0
CODCCPP,0
LONGITUD,0
ALTITUD,0
